City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
337,ancud,-41.8697,-73.8203,11.1,92,100,7.0,CL,1685484191
338,tazovsky,67.4667,78.7,10.93,76,99,5.11,RU,1685484092
339,ugoofaaru,5.6667,73.0,28.68,77,53,4.14,MV,1685484519
340,syanno,54.8106,29.7069,6.86,88,45,1.98,BY,1685484520
341,moab,38.5733,-109.5498,30.03,8,91,7.24,US,1685484520
342,saldanha,-33.0117,17.9442,13.03,86,100,8.24,ZA,1685484244
343,christies beach,-35.1396,138.4698,15.96,80,93,5.36,AU,1685484520
344,al qusayr,34.5091,36.5798,17.0,84,0,1.05,SY,1685484521
345,kingston,17.997,-76.7936,26.53,90,40,1.03,JM,1685484103
346,bela vista,-22.1089,-56.5211,18.83,97,100,0.88,BR,1685484521
347,urengoy,65.9667,78.3667,13.01,74,82,5.97,RU,1685484521
348,tofol,5.3248,163.0078,30.88,70,75,1.54,FM,1685484480
349,kiruna,67.8557,20.2251,5.51,81,100,7.72,SE,1685484522
350,campo formoso,-10.5075,-40.3214,23.09,67,73,4.91,BR,1685484275
351,gamba,-2.65,10.0,23.86,92,61,2.5,GA,1685484176
352,kone,-21.0595,164.8658,21.7,70,100,2.4,NC,1685484523
353,taulaga,-11.0553,-171.0883,28.52,76,94,5.41,AS,1685484322
354,roma,43.2128,-75.4557,29.08,32,0,1.54,US,1685484523
355,isla del bosque,22.7333,-105.85,29.15,58,0,5.92,MX,1685484524
356,korets,50.6165,27.1605,13.48,74,79,3.22,UA,1685484524
357,jayapura,-2.5333,140.7,27.66,89,80,1.6,ID,1685484524
358,preobrazheniye,42.9019,133.9064,14.16,61,0,2.21,RU,1685484524
359,kinablangan,7.6947,126.5503,26.69,78,100,2.86,PH,1685484525
360,mosjoen,65.836,13.1908,8.29,81,40,2.24,NO,1685484525
361,mawu,29.5923,107.3139,22.25,94,9,1.78,CN,1685484525
362,inhambane,-23.865,35.3833,20.79,77,32,2.8,MZ,1685484173
363,la ronge,55.1001,-105.2842,25.14,22,75,1.54,CA,1685484298
