City_ID,City,Lat,Lng,Max Temp F,Humidity,Cloudiness,Wind Speed,Country,Date
124,buka,40.8108,69.1986,56.552,41,0,1.87,UZ,2023-09-13 23:41:47
125,aasiaat,68.7098,-52.8699,41.234,68,100,8.24,GL,2023-09-13 23:41:47
126,severnoye,56.3491,78.3619,43.808,91,14,2.2,RU,2023-09-13 23:41:48
127,santa ana,33.7456,-117.8678,86.486,61,20,4.63,US,2023-09-13 23:41:14
128,changli,39.7042,119.1506,68.36,62,0,1.45,CN,2023-09-13 23:41:49
129,tefe,-3.3542,-64.7114,84.30799999999999,70,20,1.54,BR,2023-09-13 23:41:49
130,lubango,-14.9172,13.4925,62.456,31,47,2.57,AO,2023-09-13 23:41:49
131,praia da vitoria,38.7333,-27.0667,75.452,83,20,2.91,PT,2023-09-13 23:41:50
132,albany,42.6001,-73.9662,66.362,90,74,3.79,US,2023-09-13 23:36:32
133,vorkuta,67.5,64.0,47.408,85,82,5.97,RU,2023-09-13 23:41:50
134,brisas barra de suchiate,14.55,-92.2167,89.78,82,56,3.79,MX,2023-09-13 23:41:51
135,zouerate,22.7187,-12.4521,86.702,25,58,7.77,MR,2023-09-13 23:41:51
136,khorinsk,52.1657,109.7726,48.866,58,86,0.76,RU,2023-09-13 23:41:51
137,beykonak,36.3257,30.303,79.376,34,0,2.97,TR,2023-09-13 23:41:52
138,kapa'a,22.0752,-159.319,84.18199999999999,76,100,4.12,US,2023-09-13 23:41:52
139,holualoa,19.6228,-155.9522,84.038,71,40,5.14,US,2023-09-13 23:41:53
140,undurkhaan,47.3194,110.6556,55.814,41,100,5.96,MN,2023-09-13 23:41:53
141,owando,-0.4819,15.8999,74.426,85,72,1.33,CG,2023-09-13 23:41:53
142,luza,60.6308,47.2512,48.524,93,6,2.02,RU,2023-09-13 23:41:54
143,jabor,5.921,169.6434,84.668,68,42,4.73,MH,2023-09-13 23:41:54
144,richards bay,-28.783,32.0377,62.690000000000005,68,0,8.19,ZA,2023-09-13 23:41:54
145,calama,-22.4667,-68.9333,63.086,3,0,4.63,CL,2023-09-13 23:41:55
146,minas de marcona,-15.2119,-75.1103,54.032,86,76,7.62,PE,2023-09-13 23:41:55
147,tura,25.5198,90.2201,73.652,93,94,1.38,IN,2023-09-13 23:41:55
148,gereida,11.2811,25.1414,80.366,66,4,2.76,SD,2023-09-13 23:41:56
149,tamandare,-8.7597,-35.1047,72.30199999999999,95,4,2.19,BR,2023-09-13 23:41:56
150,udachny,66.4167,112.4,30.452,92,11,2.17,RU,2023-09-13 23:41:56
151,toliara,-23.35,43.6667,69.998,74,0,7.32,MG,2023-09-13 23:41:56
152,la ronge,55.1001,-105.2842,73.652,40,75,3.09,CA,2023-09-13 23:41:57
153,jajpur,20.85,86.3333,79.646,89,100,5.02,IN,2023-09-13 23:41:57
154,amga,60.8953,131.9608,48.074,68,95,3.23,RU,2023-09-13 23:41:57
155,nadym,65.5333,72.5167,50.36,73,2,5.65,RU,2023-09-13 23:41:58
156,sukhobezvodnoye,57.0491,44.8891,54.572,70,72,0.63,RU,2023-09-13 23:41:58
157,norwich,52.6278,1.2983,56.21,88,100,1.03,GB,2023-09-13 23:41:58
158,constantia,44.1833,28.65,65.084,71,15,6.02,RO,2023-09-13 23:41:59
159,keflavik,64.0049,-22.5624,46.832,87,75,4.12,IS,2023-09-13 23:41:59
160,ormara,25.2088,64.6357,80.258,77,100,4.45,PK,2023-09-13 23:42:00
161,wellington,-41.2866,174.7756,58.658,66,22,8.23,NZ,2023-09-13 23:41:46
162,bonthe,7.5264,-12.505,76.91,91,100,0.99,SL,2023-09-13 23:42:00
163,utrik,11.2278,169.8474,83.696,76,19,6.11,MH,2023-09-13 23:42:01
164,veseloyarsk,51.2836,81.1056,48.254,91,40,3.52,RU,2023-09-13 23:42:01
165,malango,-2.9627,119.9001,78.782,58,93,1.42,ID,2023-09-13 23:42:01
166,bodaybo,57.8506,114.1933,44.204,81,67,2.26,RU,2023-09-13 23:42:02
167,usinsk,65.9939,57.5281,48.038,90,19,7.09,RU,2023-09-13 23:42:02
168,hotan,37.0997,79.9269,70.286,23,0,2.72,CN,2023-09-13 23:42:03
169,kodiak,57.79,-152.4072,53.114,71,40,4.12,US,2023-09-13 23:42:03
170,enniskillen,54.3461,-7.6413,53.906,90,99,3.47,GB,2023-09-13 23:42:04
171,betio village,1.358,172.9211,87.836,73,56,3.62,KI,2023-09-13 23:42:04
172,wynyard,-41.0,145.7167,62.618,56,100,0.94,AU,2023-09-13 23:42:04
173,tiksi,71.6872,128.8694,41.432,85,98,0.28,RU,2023-09-13 23:42:05
174,acarau,-2.8856,-40.12,78.818,83,7,7.48,BR,2023-09-13 23:42:05
175,tambopata,-12.7333,-69.1833,76.892,88,0,0.0,PE,2023-09-13 23:42:06
176,realeza,-25.7689,-53.5325,52.376,96,100,2.64,BR,2023-09-13 23:42:06
177,vila velha,-20.3297,-40.2925,75.146,88,20,6.26,BR,2023-09-13 23:41:40
178,prishibinskoye,39.1196,48.5936,64.184,83,74,1.81,AZ,2023-09-13 23:42:06
179,kargasok,59.0556,80.8572,47.984,92,20,2.01,RU,2023-09-13 23:42:07
180,vuktyl,63.8567,57.3094,47.75,95,42,3.04,RU,2023-09-13 23:42:07
181,sao joao da ponte,-15.9292,-44.0078,78.368,32,0,2.13,BR,2023-09-13 23:42:07
182,hermanus,-34.4187,19.2345,57.794,83,52,5.92,ZA,2023-09-13 23:42:08
183,yelizovo,53.1873,158.3805,69.94399999999999,68,75,2.0,RU,2023-09-13 23:42:08
184,makurdi,7.7411,8.5121,74.498,94,43,2.57,NG,2023-09-13 23:42:08
185,carnarvon,-24.8667,113.6333,67.69399999999999,64,45,3.26,AU,2023-09-13 23:42:09
186,bubaque,11.2833,-15.8333,82.202,84,95,5.28,GW,2023-09-13 23:42:09
187,ceeldheer,3.8488,47.1806,75.27199999999999,88,24,7.73,SO,2023-09-13 23:42:09
188,siluko,6.5386,5.1609,73.364,99,93,0.58,NG,2023-09-13 23:42:10
189,la passe,45.5549,-0.8967,62.978,83,0,1.86,FR,2023-09-13 23:42:10
190,ust'-uda,54.1742,103.0304,50.216,80,83,1.32,RU,2023-09-13 23:42:10
191,petropavlovsk-kamchatsky,53.0452,158.6483,68.594,68,75,2.0,RU,2023-09-13 23:42:11
192,corn island,12.1694,-83.0418,84.128,76,7,3.89,NI,2023-09-13 23:42:11
193,neyshabur,36.2133,58.7958,66.488,30,0,0.5,IR,2023-09-13 23:42:11
194,susuman,62.7833,148.1667,37.85,98,100,3.45,RU,2023-09-13 23:42:12
195,partenit,44.578,34.3446,59.540000000000006,75,1,0.55,UA,2023-09-13 23:42:12
196,laguna,38.421,-121.4238,96.548,29,0,3.09,US,2023-09-13 23:42:12
197,puerto ayora,-0.7393,-90.3518,75.542,95,88,2.68,EC,2023-09-13 23:42:13
198,dalbandin,28.8947,64.4101,82.814,13,1,1.33,PK,2023-09-13 23:42:13
199,saint-joseph,-21.3667,55.6167,66.578,89,39,1.64,RE,2023-09-13 23:42:13
200,karratha,-20.7377,116.8463,72.536,47,2,3.67,AU,2023-09-13 23:42:14
201,kapuskasing,49.4169,-82.4331,57.29,62,75,2.06,CA,2023-09-13 23:42:14
202,barabai,-2.5833,115.3833,78.53,59,96,0.08,ID,2023-09-13 23:42:14
203,dolinsk,47.35,142.8,64.112,55,100,0.7,RU,2023-09-13 23:42:15
204,san patricio,28.017,-97.5169,96.548,50,19,6.02,US,2023-09-13 23:42:15
205,caohe,30.2297,115.4335,72.914,86,99,0.9,CN,2023-09-13 23:42:15
206,key west,24.5557,-81.7826,89.6,68,0,2.57,US,2023-09-13 23:42:16
207,tuxpan,19.55,-103.4,76.55,88,82,1.45,MX,2023-09-13 23:42:16
208,mwinilunga,-11.7358,24.4293,67.208,59,72,3.65,ZM,2023-09-13 23:42:16
209,trincomalee,8.5711,81.2335,80.96,73,100,9.21,LK,2023-09-13 23:42:17
210,banda aceh,5.5577,95.3222,82.364,80,91,5.45,ID,2023-09-13 23:42:17
211,hadibu,12.65,54.0333,80.924,76,42,9.28,YE,2023-09-13 23:42:17
212,roscommon,53.6333,-8.1833,54.122,95,100,3.98,IE,2023-09-13 23:42:18
213,brisas de zicatela,15.8369,-97.0419,86.522,54,75,0.0,MX,2023-09-13 23:42:18
214,coracao de jesus,-16.6853,-44.365,75.884,34,0,2.29,BR,2023-09-13 23:42:19
215,broome,42.2506,-75.833,64.652,86,33,2.82,US,2023-09-13 23:42:19
216,kandhkot,28.244,69.1824,81.86,66,7,1.38,PK,2023-09-13 23:42:19
217,thinadhoo,0.5333,72.9333,82.67,78,82,6.22,MV,2023-09-13 23:42:20
218,chibougamau,49.9168,-74.3659,62.222,67,0,4.12,CA,2023-09-13 23:42:20
219,kisangani,0.5167,25.2,72.104,97,86,2.1,CD,2023-09-13 23:42:20
220,saint-philippe,-21.3585,55.7679,67.586,83,51,3.84,RE,2023-09-13 23:42:21
221,bel ombre,-4.6167,55.4167,80.438,78,40,7.2,SC,2023-09-13 23:42:21
222,new norfolk,-42.7826,147.0587,60.926,56,96,1.25,AU,2023-09-13 23:42:21
223,menongue,-14.6585,17.691,61.916,32,10,1.93,AO,2023-09-13 23:42:22
224,gaziantep,37.0594,37.3825,62.528000000000006,25,0,1.54,TR,2023-09-13 23:42:22
225,khorixas,-20.3667,14.9667,64.634,23,0,1.2,,2023-09-13 23:42:22
226,muromtsevo,56.3724,75.2418,50.648,80,88,2.61,RU,2023-09-13 23:42:23
227,coquimbo,-29.9533,-71.3436,60.53,72,0,5.14,CL,2023-09-13 23:42:23
228,coahuayana de hidalgo,18.7,-103.6583,84.578,83,55,2.3,MX,2023-09-13 23:42:23
229,ylitornio,66.3089,23.6773,39.974,96,17,2.41,FI,2023-09-13 23:42:24
230,katsuura,35.1333,140.3,80.94200000000001,81,23,2.71,JP,2023-09-13 23:42:24
231,talas,38.6908,35.5538,48.866,71,0,2.57,TR,2023-09-13 23:42:24
232,acapulco de juarez,16.8634,-99.8901,89.41999999999999,70,20,5.66,MX,2023-09-13 23:42:25
233,sao joao da barra,-21.6403,-41.0511,75.29,84,4,13.36,BR,2023-09-13 23:40:50
234,rye,40.9807,-73.6837,78.71,87,40,0.0,US,2023-09-13 23:38:25
235,happy valley-goose bay,53.3168,-60.3315,57.506,72,75,1.54,CA,2023-09-13 23:42:26
236,muscat,23.6139,58.5922,87.81800000000001,57,5,0.92,OM,2023-09-13 23:39:09
237,ancud,-41.8697,-73.8203,50.396,93,100,18.47,CL,2023-09-13 23:42:26
238,inhambane,-23.865,35.3833,63.248000000000005,73,0,2.12,MZ,2023-09-13 23:42:26
239,el eulma,36.1528,5.6902,65.012,60,84,1.38,DZ,2023-09-13 23:42:27
240,rongelap,11.1635,166.8941,83.19200000000001,78,21,6.28,MH,2023-09-13 23:42:27
241,novosilikatnyy,53.3097,83.6239,55.976,76,40,2.0,RU,2023-09-13 23:42:28
242,labytnangi,66.6572,66.4183,48.488,83,2,4.15,RU,2023-09-13 23:42:28
243,valdivia,-39.8142,-73.2459,50.09,97,100,3.73,CL,2023-09-13 23:42:28
244,sitka,57.0531,-135.33,55.292,76,100,3.6,US,2023-09-13 23:42:29
